,Code,Length,Gear,Species,Group,Ref,Absolute,Abs.l.95,Abs.u.95,Efficiency,Eff.l.95,Eff.u.95
479,GRP2,142,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
480,GRP2,143,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
481,GRP2,144,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
482,GRP2,145,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
483,GRP2,146,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
484,GRP2,147,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
485,GRP2,148,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
486,GRP2,149,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
487,GRP2,150,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
488,GRP2,151,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
489,GRP2,152,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
490,GRP2,153,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
491,GRP2,154,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
492,GRP2,155,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
493,GRP2,156,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
494,GRP2,157,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
495,GRP2,158,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
496,GRP2,159,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
497,GRP2,160,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
498,GRP2,161,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
499,GRP2,162,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
500,GRP2,163,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
501,GRP2,164,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
502,GRP2,165,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
1333,GRP3,0,GOV,GRP3,GRP3,no,NA,NA,NA,0,NA,NA
1334,GRP3,1,GOV,GRP3,GRP3,no,NA,NA,NA,0.001068928,NA,NA
1335,GRP3,2,GOV,GRP3,GRP3,no,NA,NA,NA,0.002137856,NA,NA
1336,GRP3,3,GOV,GRP3,GRP3,no,NA,NA,NA,0.003206784,NA,NA
1337,GRP3,4,GOV,GRP3,GRP3,no,NA,NA,NA,0.004275712,NA,NA
1338,GRP3,5,GOV,GRP3,GRP3,Ref,0.000954987,NA,NA,0.00534464,NA,NA
1339,GRP3,6,GOV,GRP3,GRP3,no,NA,NA,NA,0.006413568,NA,NA
1340,GRP3,7,GOV,GRP3,GRP3,no,NA,NA,NA,0.007482495,-0.195817487,0.210782478
1341,GRP3,8,GOV,GRP3,GRP3,no,NA,NA,NA,0.024644959,-0.160079556,0.209369474
1342,GRP3,9,GOV,GRP3,GRP3,no,NA,NA,NA,0.041749075,-0.126518375,0.210016525
1343,GRP3,10,GOV,GRP3,GRP3,Ref,0.001249969,NA,NA,0.058685151,-0.095824906,0.213195207
1344,GRP3,11,GOV,GRP3,GRP3,no,NA,NA,NA,0.075341158,-0.068461487,0.219143804
1345,GRP3,12,GOV,GRP3,GRP3,no,NA,NA,NA,0.091605072,-0.044526097,0.22773624
1346,GRP3,13,GOV,GRP3,GRP3,no,NA,NA,NA,0.107363539,-0.023706979,0.238434057
1347,GRP3,14,GOV,GRP3,GRP3,no,NA,NA,NA,0.122472753,-0.005510312,0.250455819
1348,GRP3,15,GOV,GRP3,GRP3,Ref,0.198689781,NA,NA,0.136758454,0.010506037,0.263010871
1349,GRP3,16,GOV,GRP3,GRP3,no,NA,NA,NA,0.150045054,0.024726226,0.275363882
1350,GRP3,17,GOV,GRP3,GRP3,no,NA,NA,NA,0.162156967,0.03742732,0.286886614
1351,GRP3,18,GOV,GRP3,GRP3,no,NA,NA,NA,0.17292048,0.048742238,0.297098723
1352,GRP3,19,GOV,GRP3,GRP3,no,NA,NA,NA,0.182204921,0.05857648,0.305833362
1353,GRP3,20,GOV,GRP3,GRP3,Ref,0.434173293,NA,NA,0.189922664,0.066699362,0.313145967
1354,GRP3,21,GOV,GRP3,GRP3,no,NA,NA,NA,0.195987954,0.072928331,0.319047578
1355,GRP3,22,GOV,GRP3,GRP3,no,NA,NA,NA,0.200315036,0.077187783,0.323442288
